Temperature,Humidity,Voltage,Current,SoC,SoH,Failure
29.36350297118406,67.40531715354479,3.314046820483087,1.3781356889969063,65.75967026268742,81.80906560832327,0
43.767857660247905,81.67603789513433,3.2963745588864,1.6136946546636075,84.4345863439989,84.20306978125065,1
38.29984854528513,94.91783343505634,4.087505496625244,0.575889007705748,80.81287438321272,95.6364217960654,0
34.96646210492592,89.28899545638245,3.2994554398194076,1.287260789253298,32.311992375501895,80.20013158179677,1
23.900466011060914,92.262445914458,3.3263396713543574,1.1863173679731225,31.939957579317912,96.08949054436513,0
23.899863008405067,86.35133466842869,3.9112779149015564,1.6823777158977151,41.453949419593066,72.64403292930075,1
21.452090304204987,87.6910625807141,3.539687810940648,1.821565414914395,48.88597810728298,93.30395311625892,0
41.654403644373375,93.96782606261277,3.9320526683462176,0.12309786580703494,52.67644651267861,95.4264289916421,0
35.02787529358022,69.98672035436743,3.0784393890772623,1.3806378462117062,74.37577734666762,75.45452958512016,1
37.70181444490114,79.57699854572562,3.585085432408061,0.19848801832748514,24.534434573266832,82.91039597116601,0
20.514612357395063,68.8483776727841,3.0403363202199394,1.1428314636469763,22.77381633808531,74.96499323990967,0
44.247746304049855,99.50672031986588,3.0751838441464256,0.6465021851829885,51.35284503551272,91.19812386982653,1
40.81106602001054,97.76237358746454,4.087724944013293,0.6828755390920682,75.77309537103844,86.0604330418497,1
25.308477766956905,61.57707245474023,3.1670944453411143,0.7706211565594775,35.47482743651861,89.05970040124963,0
24.545624180177516,88.22300690062754,3.6389048187302606,1.2804556531942592,71.32035850050013,75.89460900868633,0
24.585112746335845,97.00993269662663,3.493314723120848,0.7346949347706615,40.786251035223955,76.35237586157258,0
27.60605607398844,67.22301380509334,3.4168119915106114,1.4921281961215327,90.8868887050813,71.2449197652972,0
33.11891079080595,82.71780922210517,4.079800014824727,0.8686020325903524,91.65519554132932,79.66202605587189,0
30.798625466052894,96.61953190352168,3.0261880761305875,0.22987108058892136,43.78297634250612,86.79233984001024,0
27.28072850495105,61.35783914343195,3.796547623410707,1.5891437007198037,38.39950031705924,95.73804741991987,0
35.296322368059485,87.8968106898736,4.156073321056261,0.6429408167261413,52.9043177652985,90.00782342376041,0
23.487346516301045,71.89396029490203,3.6722018201542106,0.9222570712385989,39.242526814411896,83.06188970199254,0
27.303616213380455,96.97584781506121,4.12418695443971,1.402343378121613,73.79070746333629,98.59360343182414,0
29.159046082342293,98.84232980661471,3.0627094551432283,0.7316666985825527,86.08517476386284,91.57735601727495,0
31.4017496054259,97.77065956453735,3.5025519828889937,0.20751274667875969,73.84737047289735,97.9049560858765,0
39.62939903482534,78.96856866629855,3.3121893491544614,0.8104499893243458,85.94803577994796,85.82763919816497,0
24.991844553958995,94.48170603957254,3.876985157976876,1.8944523071191766,51.75937297659793,77.76712824379419,1
32.855860960340294,93.7819759414028,4.177556508596696,1.3192953548672606,32.50535765670887,71.58480059094165,0
34.81036422155106,72.76401892973023,3.3078360749330975,1.3758103824676933,79.03607579180738,91.78254554451551,0
21.161260317999943,93.1566189660271,3.7850095217688895,1.3013360919115158,48.83796041132431,73.63908994016603,0
35.18862129753596,61.480305388619705,3.2377171593116882,0.47808506402292994,73.7016660183306,79.08325384815902,1
24.263103092182288,83.85079513928213,3.678396305485932,0.8948343417943322,41.65151535854125,85.97412723651692,0
21.62628982463199,69.20035349150812,3.5567189840260034,1.5267856168903047,26.49837078453381,86.93249763339243,0
43.722138431333335,64.82267543109116,4.1664063955578445,0.29260850535100236,99.40654363902107,88.01749590961408,0
44.14080082686398,63.078128065168364,3.73023272723576,0.6279202745704533,32.49612063444794,74.98765991049102,1
40.20993370291153,87.8515510351256,3.4194076465041827,0.6250063060851219,99.07367951707849,81.39212214464946,1
